Period,Category,Subcategory,Amount
Apr-25,cogs,cogs,21334
Feb-25,cogs,cogs,19542
Jan-25,cogs,cogs,19538
Mar-25,cogs,cogs,20124
May-25,cogs,cogs,25529
Apr-25,cogs,cogs,21334
Feb-25,cogs,cogs,19542
Jan-25,cogs,cogs,19538
Mar-25,cogs,cogs,20124
May-25,cogs,cogs,25529
Apr-25,cogs,cogs,21334
Feb-25,cogs,cogs,19542
Jan-25,cogs,cogs,19538
Mar-25,cogs,cogs,20124
May-25,cogs,cogs,25529
Apr-25,profitability_metrics,profitability_metrics,24355
Feb-25,profitability_metrics,profitability_metrics,29628
Jan-25,profitability_metrics,profitability_metrics,26749
Mar-25,profitability_metrics,profitability_metrics,28294
May-25,profitability_metrics,profitability_metrics,31179
Apr-25,profitability_metrics,profitability_metrics,24355
Feb-25,profitability_metrics,profitability_metrics,29628
Jan-25,profitability_metrics,profitability_metrics,26749
Mar-25,profitability_metrics,profitability_metrics,28294
May-25,profitability_metrics,profitability_metrics,31179
Apr-25,margin_ratios,margin_ratios,53
Feb-25,margin_ratios,margin_ratios,60
Jan-25,margin_ratios,margin_ratios,58
Mar-25,margin_ratios,margin_ratios,58
May-25,margin_ratios,margin_ratios,55
Apr-25,margin_ratios,margin_ratios,53
Feb-25,margin_ratios,margin_ratios,60
Jan-25,margin_ratios,margin_ratios,58
Mar-25,margin_ratios,margin_ratios,58
May-25,margin_ratios,margin_ratios,55
Apr-25,profitability_metrics,profitability_metrics,24355
Feb-25,profitability_metrics,profitability_metrics,29628
Jan-25,profitability_metrics,profitability_metrics,26749
Mar-25,profitability_metrics,profitability_metrics,28294
May-25,profitability_metrics,profitability_metrics,31179
Apr-25,margin_ratios,margin_ratios,53
Feb-25,margin_ratios,margin_ratios,60
Jan-25,margin_ratios,margin_ratios,58
Mar-25,margin_ratios,margin_ratios,58
May-25,margin_ratios,margin_ratios,55
Apr-25,other,miscellaneous,7780
Feb-25,other,miscellaneous,7401
Jan-25,other,miscellaneous,5901
Mar-25,other,miscellaneous,7401
May-25,other,miscellaneous,9218
Apr-25,operating_expenses,salaries,7780
Feb-25,operating_expenses,salaries,7401
Jan-25,operating_expenses,salaries,5901
Mar-25,operating_expenses,salaries,7401
May-25,operating_expenses,salaries,9218
Apr-25,operating_expenses,salaries,1219
Feb-25,operating_expenses,salaries,1124
Jan-25,operating_expenses,salaries,1871
Mar-25,operating_expenses,salaries,1162
May-25,operating_expenses,salaries,1290
Apr-25,operating_expenses,salaries,7780
Feb-25,operating_expenses,salaries,7401
Jan-25,operating_expenses,salaries,5901
Mar-25,operating_expenses,salaries,7401
May-25,operating_expenses,salaries,9218
Apr-25,operating_expenses,salaries,1219
Feb-25,operating_expenses,salaries,1124
Jan-25,operating_expenses,salaries,1871
Mar-25,operating_expenses,salaries,1162
May-25,operating_expenses,salaries,1290
Apr-25,operating_expenses,salaries,21
Jan-25,operating_expenses,salaries,205
Mar-25,operating_expenses,salaries,44
May-25,operating_expenses,salaries,129
Apr-25,operating_expenses,salaries,21
Jan-25,operating_expenses,salaries,205
Mar-25,operating_expenses,salaries,44
May-25,operating_expenses,salaries,129
Apr-25,operating_expenses,salaries,1219
Feb-25,operating_expenses,salaries,1124
Jan-25,operating_expenses,salaries,1871
Mar-25,operating_expenses,salaries,1162
May-25,operating_expenses,salaries,1290
Apr-25,operating_expenses,salaries,139
May-25,operating_expenses,salaries,162
Apr-25,operating_expenses,salaries,139
May-25,operating_expenses,salaries,162
Apr-25,operating_expenses,salaries,21
Jan-25,operating_expenses,salaries,205
Mar-25,operating_expenses,salaries,44
May-25,operating_expenses,salaries,129
Apr-25,operating_expenses,salaries,139
May-25,operating_expenses,salaries,162
Apr-25,revenue,other_income,4783
Feb-25,revenue,other_income,3660
Mar-25,revenue,other_income,3958
May-25,revenue,other_income,5723
Apr-25,operating_expenses,salaries,4783
Feb-25,operating_expenses,salaries,3660
Mar-25,operating_expenses,salaries,3958
May-25,operating_expenses,salaries,5723
Apr-25,operating_expenses,salaries,4783
Feb-25,operating_expenses,salaries,3660
Mar-25,operating_expenses,salaries,3958
May-25,operating_expenses,salaries,5723
Jan-25,revenue,sales,2965
Mar-25,revenue,sales,120
Jan-25,operating_expenses,rent,2965
Mar-25,operating_expenses,rent,120
Feb-25,other,miscellaneous,175
Jan-25,other,miscellaneous,652
Mar-25,other,miscellaneous,200
Jan-25,operating_expenses,salaries,2965
Mar-25,operating_expenses,salaries,120
Feb-25,operating_expenses,marketing,175
Jan-25,operating_expenses,marketing,652
Mar-25,operating_expenses,marketing,200
Feb-25,operating_expenses,marketing,175
Jan-25,operating_expenses,marketing,652
Mar-25,operating_expenses,marketing,200
Apr-25,other,miscellaneous,209
Feb-25,other,miscellaneous,2344
Jan-25,other,miscellaneous,16
Mar-25,other,miscellaneous,186
May-25,other,miscellaneous,394
Apr-25,operating_expenses,travel,209
Feb-25,operating_expenses,travel,2344
Jan-25,operating_expenses,travel,16
Mar-25,operating_expenses,travel,186
May-25,operating_expenses,travel,394
Apr-25,cogs,entertainment,209
Feb-25,cogs,entertainment,2344
Jan-25,cogs,entertainment,16
Mar-25,cogs,entertainment,186
May-25,cogs,entertainment,394
Apr-25,operating_expenses,travel,615
Feb-25,operating_expenses,travel,4626
Jan-25,operating_expenses,travel,2470
Mar-25,operating_expenses,travel,461
May-25,operating_expenses,travel,278
Apr-25,other,miscellaneous,615
Feb-25,other,miscellaneous,4626
Jan-25,other,miscellaneous,2470
Mar-25,other,miscellaneous,461
May-25,other,miscellaneous,278
Apr-25,financial_expenses,bank_fees,351
Feb-25,financial_expenses,bank_fees,237
Jan-25,financial_expenses,bank_fees,54
Mar-25,financial_expenses,bank_fees,623
May-25,financial_expenses,bank_fees,595
Apr-25,financial_expenses,bank_fees,351
Feb-25,financial_expenses,bank_fees,237
Jan-25,financial_expenses,bank_fees,54
Mar-25,financial_expenses,bank_fees,623
May-25,financial_expenses,bank_fees,595
Apr-25,cogs,travel,615
Feb-25,cogs,travel,4626
Jan-25,cogs,travel,2470
Mar-25,cogs,travel,461
May-25,cogs,travel,278
Apr-25,operating_expenses,office_supplies,17
May-25,operating_expenses,office_supplies,279
Apr-25,cogs,bank_fees,351
Feb-25,cogs,bank_fees,237
Jan-25,cogs,bank_fees,54
Mar-25,cogs,bank_fees,623
May-25,cogs,bank_fees,595
Apr-25,operating_expenses,office_supplies,17
May-25,operating_expenses,office_supplies,279
Apr-25,operating_expenses,office_supplies,17
May-25,operating_expenses,office_supplies,279
Apr-25,operating_expenses,salaries,311
Feb-25,operating_expenses,salaries,264
Jan-25,operating_expenses,salaries,218
Mar-25,operating_expenses,salaries,283
May-25,operating_expenses,salaries,372
Apr-25,operating_expenses,salaries,311
Feb-25,operating_expenses,salaries,264
Jan-25,operating_expenses,salaries,218
Mar-25,operating_expenses,salaries,283
May-25,operating_expenses,salaries,372
Apr-25,operating_expenses,salaries,311
Feb-25,operating_expenses,salaries,264
Jan-25,operating_expenses,salaries,218
Mar-25,operating_expenses,salaries,283
May-25,operating_expenses,salaries,372
Apr-25,other,miscellaneous,13
Feb-25,other,miscellaneous,13
Jan-25,other,miscellaneous,13
Mar-25,other,miscellaneous,13
May-25,other,miscellaneous,14
Apr-25,operating_expenses,cell,13
Feb-25,operating_expenses,cell,13
Jan-25,operating_expenses,cell,13
Mar-25,operating_expenses,cell,13
May-25,operating_expenses,cell,14
Apr-25,operating_expenses,office_supplies,13
Feb-25,operating_expenses,office_supplies,13
Jan-25,operating_expenses,office_supplies,13
Mar-25,operating_expenses,office_supplies,13
May-25,operating_expenses,office_supplies,14
Jan-25,operating_expenses,professional_services,150
Jan-25,operating_expenses,professional_services,150
Apr-25,operating_expenses,professional_services,376
Feb-25,operating_expenses,professional_services,350
Jan-25,operating_expenses,professional_services,350
Mar-25,operating_expenses,professional_services,376
May-25,operating_expenses,professional_services,376
Apr-25,operating_expenses,professional_services,376
Feb-25,operating_expenses,professional_services,350
Jan-25,operating_expenses,professional_services,350
Mar-25,operating_expenses,professional_services,376
May-25,operating_expenses,professional_services,376
Jan-25,operating_expenses,professional_services,150
Apr-25,operating_expenses,salaries,30
Feb-25,operating_expenses,salaries,25
Jan-25,operating_expenses,salaries,25
Mar-25,operating_expenses,salaries,30
May-25,operating_expenses,salaries,35
Apr-25,operating_expenses,professional_services,376
Feb-25,operating_expenses,professional_services,350
Jan-25,operating_expenses,professional_services,350
Mar-25,operating_expenses,professional_services,376
May-25,operating_expenses,professional_services,376
Apr-25,operating_expenses,salaries,30
Feb-25,operating_expenses,salaries,25
Jan-25,operating_expenses,salaries,25
Mar-25,operating_expenses,salaries,30
May-25,operating_expenses,salaries,35
Apr-25,operating_expenses,professional_services,30
Feb-25,operating_expenses,professional_services,25
Jan-25,operating_expenses,professional_services,25
Mar-25,operating_expenses,professional_services,30
May-25,operating_expenses,professional_services,35
Apr-25,operating_expenses,professional_services,352
Mar-25,operating_expenses,professional_services,2573
Apr-25,operating_expenses,professional_services,352
Mar-25,operating_expenses,professional_services,2573
Mar-25,revenue,other_income,91
Apr-25,operating_expenses,professional_services,352
Mar-25,operating_expenses,professional_services,2573
Mar-25,operating_expenses,professional_services,91
Mar-25,operating_expenses,professional_services,91
Apr-25,operating_expenses,professional_services,432
Feb-25,operating_expenses,professional_services,405
Jan-25,operating_expenses,professional_services,405
Mar-25,operating_expenses,professional_services,432
May-25,operating_expenses,professional_services,432
Apr-25,other,miscellaneous,432
Feb-25,other,miscellaneous,405
Jan-25,other,miscellaneous,405
Mar-25,other,miscellaneous,432
May-25,other,miscellaneous,432
Apr-25,operating_expenses,office_supplies,350
Feb-25,operating_expenses,office_supplies,1972
Jan-25,operating_expenses,office_supplies,169
Mar-25,operating_expenses,office_supplies,1166
May-25,operating_expenses,office_supplies,1365
Apr-25,operating_expenses,professional_services,432
Feb-25,operating_expenses,professional_services,405
Jan-25,operating_expenses,professional_services,405
Mar-25,operating_expenses,professional_services,432
May-25,operating_expenses,professional_services,432
Apr-25,operating_expenses,office_supplies,350
Feb-25,operating_expenses,office_supplies,1972
Jan-25,operating_expenses,office_supplies,169
Mar-25,operating_expenses,office_supplies,1166
May-25,operating_expenses,office_supplies,1365
Apr-25,operating_expenses,salaries,595
Jan-25,operating_expenses,salaries,430
Mar-25,operating_expenses,salaries,545
Apr-25,operating_expenses,salaries,595
Jan-25,operating_expenses,salaries,430
Mar-25,operating_expenses,salaries,545
Apr-25,operating_expenses,office_supplies,350
Feb-25,operating_expenses,office_supplies,1972
Jan-25,operating_expenses,office_supplies,169
Mar-25,operating_expenses,office_supplies,1166
May-25,operating_expenses,office_supplies,1365
Apr-25,operating_expenses,salaries,595
Jan-25,operating_expenses,salaries,430
Mar-25,operating_expenses,salaries,545
Apr-25,financial_calculations,financial_calculations,17593
Feb-25,financial_calculations,financial_calculations,22596
Jan-25,financial_calculations,financial_calculations,15892
Mar-25,financial_calculations,financial_calculations,19578
May-25,financial_calculations,financial_calculations,20663
Apr-25,operating_expenses,operating_expenses,17593
Feb-25,operating_expenses,operating_expenses,22596
Jan-25,operating_expenses,operating_expenses,15892
Mar-25,operating_expenses,operating_expenses,19578
May-25,operating_expenses,operating_expenses,20663
Apr-25,financial_calculations,financial_calculations,6762
Feb-25,financial_calculations,financial_calculations,7032
Jan-25,financial_calculations,financial_calculations,10856
Mar-25,financial_calculations,financial_calculations,8716
May-25,financial_calculations,financial_calculations,10517
Apr-25,financial_calculations,financial_calculations,6762
Feb-25,financial_calculations,financial_calculations,7032
Jan-25,financial_calculations,financial_calculations,10856
Mar-25,financial_calculations,financial_calculations,8716
May-25,financial_calculations,financial_calculations,10517
Apr-25,operating_expenses,operating_expenses,17593
Feb-25,operating_expenses,operating_expenses,22596
Jan-25,operating_expenses,operating_expenses,15892
Mar-25,operating_expenses,operating_expenses,19578
May-25,operating_expenses,operating_expenses,20663
Apr-25,financial_calculations,financial_calculations,6762
Feb-25,financial_calculations,financial_calculations,7032
Jan-25,financial_calculations,financial_calculations,10856
Mar-25,financial_calculations,financial_calculations,8716
May-25,financial_calculations,financial_calculations,10517
Feb-25,operating_expenses,salaries,605
Feb-25,operating_expenses,salaries,605
Feb-25,operating_expenses,salaries,605
Apr-25,revenue,other_income,8848
Feb-25,revenue,other_income,7320
Mar-25,revenue,other_income,7917
May-25,revenue,other_income,10242
Apr-25,revenue,other_income,8848
Feb-25,revenue,other_income,7320
Mar-25,revenue,other_income,7917
May-25,revenue,other_income,10242
Apr-25,operating_expenses,salaries,9579
Feb-25,operating_expenses,salaries,7320
Jan-25,operating_expenses,salaries,2433
Mar-25,operating_expenses,salaries,7917
May-25,operating_expenses,salaries,10861
Apr-25,operating_expenses,utilities,8848
Feb-25,operating_expenses,utilities,7320
Mar-25,operating_expenses,utilities,7917
May-25,operating_expenses,utilities,10242
Apr-25,operating_expenses,salaries,9579
Feb-25,operating_expenses,salaries,7320
Jan-25,operating_expenses,salaries,2433
Mar-25,operating_expenses,salaries,7917
May-25,operating_expenses,salaries,10861
Apr-25,operating_expenses,salaries,9579
Feb-25,operating_expenses,salaries,7320
Jan-25,operating_expenses,salaries,2433
Mar-25,operating_expenses,salaries,7917
May-25,operating_expenses,salaries,10861
Apr-25,revenue,revenue,730
Feb-25,revenue,revenue,605
Jan-25,revenue,revenue,2433
May-25,revenue,revenue,619
Apr-25,revenue,revenue,730
Feb-25,revenue,revenue,605
Jan-25,revenue,revenue,2433
May-25,revenue,revenue,619
Apr-25,revenue,revenue,730
Feb-25,revenue,revenue,605
Jan-25,revenue,revenue,2433
May-25,revenue,revenue,619
Apr-25,profitability_metrics,profitability_metrics,6031
Feb-25,profitability_metrics,profitability_metrics,6426
Jan-25,profitability_metrics,profitability_metrics,8423
Mar-25,profitability_metrics,profitability_metrics,8716
May-25,profitability_metrics,profitability_metrics,9898
Apr-25,profitability_metrics,profitability_metrics,6031
Feb-25,profitability_metrics,profitability_metrics,6426
Jan-25,profitability_metrics,profitability_metrics,8423
Mar-25,profitability_metrics,profitability_metrics,8716
May-25,profitability_metrics,profitability_metrics,9898
Apr-25,profitability_metrics,profitability_metrics,6031
Feb-25,profitability_metrics,profitability_metrics,6426
Jan-25,profitability_metrics,profitability_metrics,8423
Mar-25,profitability_metrics,profitability_metrics,8716
May-25,profitability_metrics,profitability_metrics,9898
Apr-25,margin_ratios,margin_ratios,13
Feb-25,margin_ratios,margin_ratios,13
Jan-25,margin_ratios,margin_ratios,18
Mar-25,margin_ratios,margin_ratios,18
May-25,margin_ratios,margin_ratios,17
Apr-25,margin_ratios,margin_ratios,13
Feb-25,margin_ratios,margin_ratios,13
Jan-25,margin_ratios,margin_ratios,18
Mar-25,margin_ratios,margin_ratios,18
May-25,margin_ratios,margin_ratios,17
Apr-25,revenue,interest_income,559
Feb-25,revenue,interest_income,780
Jan-25,revenue,interest_income,638
Mar-25,revenue,interest_income,668
May-25,revenue,interest_income,614
Apr-25,margin_ratios,margin_ratios,13
Feb-25,margin_ratios,margin_ratios,13
Jan-25,margin_ratios,margin_ratios,18
Mar-25,margin_ratios,margin_ratios,18
May-25,margin_ratios,margin_ratios,17
Apr-25,revenue,interest_income,559
Feb-25,revenue,interest_income,780
Jan-25,revenue,interest_income,638
Mar-25,revenue,interest_income,668
May-25,revenue,interest_income,614
Apr-25,revenue,interest_income,559
Feb-25,revenue,interest_income,780
Jan-25,revenue,interest_income,638
Mar-25,revenue,interest_income,668
May-25,revenue,interest_income,614
Apr-25,revenue,other_income,14
Feb-25,revenue,other_income,99
Jan-25,revenue,other_income,3
Mar-25,revenue,other_income,1
May-25,revenue,other_income,33
Apr-25,revenue,other_income,14
Feb-25,revenue,other_income,99
Jan-25,revenue,other_income,3
Mar-25,revenue,other_income,1
May-25,revenue,other_income,33
Feb-25,revenue,other_income,9
May-25,revenue,other_income,4
Feb-25,revenue,other_income,9
May-25,revenue,other_income,4
Apr-25,revenue,other_income,14
Feb-25,revenue,other_income,99
Jan-25,revenue,other_income,3
Mar-25,revenue,other_income,1
May-25,revenue,other_income,33
Feb-25,revenue,other_income,9
May-25,revenue,other_income,4
Apr-25,taxes,income_tax,6603
Feb-25,taxes,income_tax,7297
Jan-25,taxes,income_tax,9064
Mar-25,taxes,income_tax,9386
May-25,taxes,income_tax,10540
Apr-25,taxes,income_tax,6603
Feb-25,taxes,income_tax,7297
Jan-25,taxes,income_tax,9064
Mar-25,taxes,income_tax,9386
May-25,taxes,income_tax,10540
Apr-25,financial_calculations,financial_calculations,2649
Feb-25,financial_calculations,financial_calculations,1673
Jan-25,financial_calculations,financial_calculations,1076
Mar-25,financial_calculations,financial_calculations,1484
May-25,financial_calculations,financial_calculations,630
Apr-25,taxes,income_tax,6603
Feb-25,taxes,income_tax,7297
Jan-25,taxes,income_tax,9064
Mar-25,taxes,income_tax,9386
May-25,taxes,income_tax,10540
Apr-25,financial_calculations,financial_calculations,2649
Feb-25,financial_calculations,financial_calculations,1673
Jan-25,financial_calculations,financial_calculations,1076
Mar-25,financial_calculations,financial_calculations,1484
May-25,financial_calculations,financial_calculations,630
Apr-25,financial_calculations,financial_calculations,2649
Feb-25,financial_calculations,financial_calculations,1673
Jan-25,financial_calculations,financial_calculations,1076
Mar-25,financial_calculations,financial_calculations,1484
May-25,financial_calculations,financial_calculations,630
Apr-25,revenue,revenue,3955
Feb-25,revenue,revenue,5624
Jan-25,revenue,revenue,7988
Mar-25,revenue,revenue,7901
May-25,revenue,revenue,9910
Apr-25,revenue,revenue,3955
Feb-25,revenue,revenue,5624
Jan-25,revenue,revenue,7988
Mar-25,revenue,revenue,7901
May-25,revenue,revenue,9910
Apr-25,revenue,revenue,9
Feb-25,revenue,revenue,11
Jan-25,revenue,revenue,17
Mar-25,revenue,revenue,16
May-25,revenue,revenue,17
Apr-25,revenue,revenue,9
Feb-25,revenue,revenue,11
Jan-25,revenue,revenue,17
Mar-25,revenue,revenue,16
May-25,revenue,revenue,17
Apr-25,revenue,revenue,3955
Feb-25,revenue,revenue,5624
Jan-25,revenue,revenue,7988
Mar-25,revenue,revenue,7901
May-25,revenue,revenue,9910
Apr-25,revenue,revenue,9
Feb-25,revenue,revenue,11
Jan-25,revenue,revenue,17
Mar-25,revenue,revenue,16
May-25,revenue,revenue,17
Apr-25,revenue,other_income,4789
Feb-25,revenue,other_income,4415
Jan-25,revenue,other_income,4443
Mar-25,revenue,other_income,4789
May-25,revenue,other_income,4789
Apr-25,revenue,other_income,4789
Feb-25,revenue,other_income,4415
Jan-25,revenue,other_income,4443
Mar-25,revenue,other_income,4789
May-25,revenue,other_income,4789
Apr-25,other,miscellaneous,14632
Feb-25,other,miscellaneous,14632
Jan-25,other,miscellaneous,14632
Mar-25,other,miscellaneous,14632
May-25,other,miscellaneous,14632
Apr-25,other,miscellaneous,14632
Feb-25,other,miscellaneous,14632
Jan-25,other,miscellaneous,14632
Mar-25,other,miscellaneous,14632
May-25,other,miscellaneous,14632
Apr-25,revenue,other_income,4789
Feb-25,revenue,other_income,4415
Jan-25,revenue,other_income,4443
Mar-25,revenue,other_income,4789
May-25,revenue,other_income,4789
Apr-25,revenue,other_income,26267
Feb-25,revenue,other_income,30123
Jan-25,revenue,other_income,27211
Mar-25,revenue,other_income,28997
May-25,revenue,other_income,37287
Apr-25,other,miscellaneous,14632
Feb-25,other,miscellaneous,14632
Jan-25,other,miscellaneous,14632
Mar-25,other,miscellaneous,14632
May-25,other,miscellaneous,14632
Apr-25,revenue,other_income,26267
Feb-25,revenue,other_income,30123
Jan-25,revenue,other_income,27211
Mar-25,revenue,other_income,28997
May-25,revenue,other_income,37287
Apr-25,revenue,other_income,26267
Feb-25,revenue,other_income,30123
Jan-25,revenue,other_income,27211
Mar-25,revenue,other_income,28997
May-25,revenue,other_income,37287
Apr-25,revenue,services,45689
Feb-25,revenue,services,49171
Jan-25,revenue,services,46287
Mar-25,revenue,services,48418
May-25,revenue,services,56708
Apr-25,revenue,services,45689
Feb-25,revenue,services,49171
Jan-25,revenue,services,46287
Mar-25,revenue,services,48418
May-25,revenue,services,56708
Apr-25,revenue,services,45689
Feb-25,revenue,services,49171
Jan-25,revenue,services,46287
Mar-25,revenue,services,48418
May-25,revenue,services,56708
Apr-25,revenue,services,45689
Feb-25,revenue,services,49171
Jan-25,revenue,services,46287
Mar-25,revenue,services,48418
May-25,revenue,services,56708
Apr-25,revenue,services,45689
Feb-25,revenue,services,49171
Jan-25,revenue,services,46287
Mar-25,revenue,services,48418
May-25,revenue,services,56708
Apr-25,revenue,services,45689
Feb-25,revenue,services,49171
Jan-25,revenue,services,46287
Mar-25,revenue,services,48418
May-25,revenue,services,56708
Apr-25,revenue,services,45689
Feb-25,revenue,services,49171
Jan-25,revenue,services,46287
Mar-25,revenue,services,48418
May-25,revenue,services,56708
Apr-25,revenue,services,45689
Feb-25,revenue,services,49171
Jan-25,revenue,services,46287
Mar-25,revenue,services,48418
May-25,revenue,services,56708
Apr-25,revenue,services,45689
Feb-25,revenue,services,49171
Jan-25,revenue,services,46287
Mar-25,revenue,services,48418
May-25,revenue,services,56708
Apr-25,revenue,services,45689
Feb-25,revenue,services,49171
Jan-25,revenue,services,46287
Mar-25,revenue,services,48418
May-25,revenue,services,56708
Apr-25,total,total,45689
Feb-25,total,total,49171
Jan-25,total,total,46287
Mar-25,total,total,48418
May-25,total,total,56708
Apr-25,total,total,45689
Feb-25,total,total,49171
Jan-25,total,total,46287
Mar-25,total,total,48418
May-25,total,total,56708
Apr-25,revenue,sales,45689
Feb-25,revenue,sales,49171
Jan-25,revenue,sales,46287
Mar-25,revenue,sales,48418
May-25,revenue,sales,56708
Apr-25,revenue,revenue,45689
Feb-25,revenue,revenue,49171
Jan-25,revenue,revenue,46287
Mar-25,revenue,revenue,48418
May-25,revenue,revenue,56708
Apr-25,revenue,revenue,45689
Feb-25,revenue,revenue,49171
Jan-25,revenue,revenue,46287
Mar-25,revenue,revenue,48418
May-25,revenue,revenue,56708
Apr-25,total,total,45689
Feb-25,total,total,49171
Jan-25,total,total,46287
Mar-25,total,total,48418
May-25,total,total,56708
Apr-25,revenue,revenue,45689
Feb-25,revenue,revenue,49171
Jan-25,revenue,revenue,46287
Mar-25,revenue,revenue,48418
May-25,revenue,revenue,56708
Apr-25,total,total,45689
Feb-25,total,total,49171
Jan-25,total,total,46287
Mar-25,total,total,48418
May-25,total,total,56708
Apr-25,total,total,45689
Feb-25,total,total,49171
Jan-25,total,total,46287
Mar-25,total,total,48418
May-25,total,total,56708
Apr-25,revenue,revenue,45689
Feb-25,revenue,revenue,49171
Jan-25,revenue,revenue,46287
Mar-25,revenue,revenue,48418
May-25,revenue,revenue,56708
Apr-25,cogs,materials,11727
Feb-25,cogs,materials,9599
Jan-25,cogs,materials,10440
Mar-25,cogs,materials,10556
May-25,cogs,materials,13752
Apr-25,cogs,salaries,11727
Feb-25,cogs,salaries,9599
Jan-25,cogs,salaries,10440
Mar-25,cogs,salaries,10556
May-25,cogs,salaries,13752
Apr-25,cogs,salaries,11727
Feb-25,cogs,salaries,9599
Jan-25,cogs,salaries,10440
Mar-25,cogs,salaries,10556
May-25,cogs,salaries,13752
Apr-25,cogs,wages,11727
Feb-25,cogs,wages,9599
Jan-25,cogs,wages,10440
Mar-25,cogs,wages,10556
May-25,cogs,wages,13752
Apr-25,cogs,materials,11727
Feb-25,cogs,materials,9599
Jan-25,cogs,materials,10440
Mar-25,cogs,materials,10556
May-25,cogs,materials,13752
Apr-25,cogs,materials,11727
Feb-25,cogs,materials,9599
Jan-25,cogs,materials,10440
Mar-25,cogs,materials,10556
May-25,cogs,materials,13752
Apr-25,other,miscellaneous,11727
Feb-25,other,miscellaneous,9599
Jan-25,other,miscellaneous,10440
Mar-25,other,miscellaneous,10556
May-25,other,miscellaneous,13752
Apr-25,cogs,salaries,11727
Feb-25,cogs,salaries,9599
Jan-25,cogs,salaries,10440
Mar-25,cogs,salaries,10556
May-25,cogs,salaries,13752
Apr-25,cogs,materials,11727
Feb-25,cogs,materials,9599
Jan-25,cogs,materials,10440
Mar-25,cogs,materials,10556
May-25,cogs,materials,13752
Apr-25,cogs,materials,11727
Feb-25,cogs,materials,9599
Jan-25,cogs,materials,10440
Mar-25,cogs,materials,10556
May-25,cogs,materials,13752
Apr-25,cogs,wages,2925
Feb-25,cogs,wages,2251
Jan-25,cogs,wages,2275
Mar-25,cogs,wages,2805
May-25,cogs,wages,3430
Apr-25,cogs,payroll_taxes,2925
Feb-25,cogs,payroll_taxes,2251
Jan-25,cogs,payroll_taxes,2275
Mar-25,cogs,payroll_taxes,2805
May-25,cogs,payroll_taxes,3430
Apr-25,cogs,salaries,2925
Feb-25,cogs,salaries,2251
Jan-25,cogs,salaries,2275
Mar-25,cogs,salaries,2805
